Epoch 00000 | Loss 13.1697 | Accuracy 0.3196 | Time 22.9004
Epoch 00001 | Loss 3.1378 | Accuracy 0.3074 | Time 22.5062
Epoch 00002 | Loss 2.8605 | Accuracy 0.3080 | Time 22.5284
Epoch 00003 | Loss 2.7124 | Accuracy 0.3093 | Time 22.6656
Epoch 00004 | Loss 2.6306 | Accuracy 0.3268 | Time 22.4853
Epoch 00005 | Loss 2.5675 | Accuracy 0.3705 | Time 22.4868
Epoch 00006 | Loss 2.5112 | Accuracy 0.3830 | Time 22.4635
Epoch 00007 | Loss 2.4476 | Accuracy 0.3840 | Time 22.4781
Epoch 00008 | Loss 2.3715 | Accuracy 0.3885 | Time 22.4731
Epoch 00009 | Loss 2.2814 | Accuracy 0.4192 | Time 22.5271
Epoch 00010 | Loss 2.1865 | Accuracy 0.4530 | Time 22.6212
Epoch 00011 | Loss 2.0829 | Accuracy 0.4911 | Time 22.5507
Epoch 00012 | Loss 1.9902 | Accuracy 0.5160 | Time 22.5476
Epoch 00013 | Loss 1.9006 | Accuracy 0.5409 | Time 22.5580
Epoch 00014 | Loss 1.8243 | Accuracy 0.5584 | Time 22.5447
Epoch 00015 | Loss 1.7577 | Accuracy 0.5787 | Time 22.5484
Epoch 00016 | Loss 1.7016 | Accuracy 0.5913 | Time 22.5457
Epoch 00017 | Loss 1.6555 | Accuracy 0.5969 | Time 22.5764
Epoch 00018 | Loss 1.6116 | Accuracy 0.6438 | Time 22.7248
Epoch 00019 | Loss 1.5686 | Accuracy 0.6714 | Time 22.5548
Avg epoch time: 22.56434440612793, Throughput: 8713.5264
Test accuracy 0.7152
